Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
United Kingdom,6297157,131269,0,6165888,26484,2.08,0.0,0.0,134862019,46693.0,6098117,199040,3.26
Uruguay,383292,6003,0,377289,80,1.57,0.0,0.0,3473727,110340.0,382506,786,0.21
Uzbekistan,143041,976,0,142065,917,0.68,0.0,0.0,33469199,4274.0,136635,6406,4.69
Vanuatu,4,1,0,3,0,25.0,0.0,0.0,292680,14.0,4,0,0.0
Venezuela,319094,3799,0,315295,909,1.19,0.0,0.0,28435943,11222.0,312115,6979,2.24
Vietnam,275044,5774,0,269270,9580,2.1,0.0,0.0,97338583,2826.0,215560,59484,27.6
West Bank and Gaza,320034,3623,0,316411,0,1.13,0.0,0.0,4543126,70444.0,317999,2035,0.64
Yemen,7293,1403,0,5890,20,19.24,0.0,0.0,29825968,245.0,7165,128,1.79
Zambia,202261,3529,0,198732,183,1.74,0.0,0.0,18383956,11002.0,200049,2212,1.11
Zimbabwe,120088,4109,0,115979,235,3.42,0.0,0.0,14862927,8080.0,116327,3761,3.23
